strategy,cagr,mdd,sr_net,trades_yr
Buy & Hold,0.3061460069902884,-0.7662925431645938,0.6179146851386905,0.1271761838440111
SMA 200,0.3314840056308232,-0.645835581494194,0.7229347308712154,7.630571030640668
RSI(14)>50,0.3841815989975661,-0.5406742370062341,0.8044613942978911,44.00295961002786
MACD Cross,0.2520520729509941,-0.5499626414246381,0.6126535679780715,26.198293871866294
Ex-ante momentum benchmark,0.4282777467332248,-0.5128166616384934,0.9173201080439872,9.665389972144848
1h ML balanced,0.1939028911717677,-0.626334878103645,0.5303149302136446,30.776636490250695
