strategy_id,asset,family,gross_sr,net_sr_18bp,trades_yr,cost_drag_pct,T
BTC_sma_10_100,BTC,sma_cross,1.3706155747487432,1.3604024679844353,1.9472727272727275,0.07888837945011247,2200
BTC_sma_10_150,BTC,sma_cross,1.482880349511268,1.477410946107888,1.030909090909091,0.03080294630587448,2200
BTC_sma_10_200,BTC,sma_cross,1.1711301039715567,1.1631473853854082,1.4890909090909092,0.12220636900229566,2200
BTC_sma_10_300,BTC,sma_cross,0.8729644013310565,0.8646748357189796,1.4890909090909092,0.35698121751820105,2200
BTC_sma_20_100,BTC,sma_cross,1.4576770366281564,1.45024843430279,1.4890909090909092,0.04491850278328159,2200
BTC_sma_20_150,BTC,sma_cross,1.3629914924003224,1.3576555710874718,1.030909090909091,0.042582357370614124,2200
BTC_sma_20_200,BTC,sma_cross,1.1473002400035286,1.1420433520305584,1.030909090909091,0.09013587241226459,2200
BTC_sma_20_300,BTC,sma_cross,0.8876609729755306,0.8806104700659585,1.26,0.28623975765751647,2200
BTC_sma_50_100,BTC,sma_cross,1.1899398073918024,1.1812714459095652,1.7181818181818183,0.11715750333144909,2200
BTC_sma_50_150,BTC,sma_cross,1.0184031674247698,1.0131744729204126,1.030909090909091,0.1263675908241288,2200
BTC_sma_50_200,BTC,sma_cross,0.9331278765115987,0.927897523661994,1.030909090909091,0.17272517056990097,2200
BTC_sma_50_300,BTC,sma_cross,0.48270602295149573,0.4773573901626408,1.030909090909091,1.06589980872654,2200
BTC_sma_100_150,BTC,sma_cross,0.7061450368862088,0.7000574137153496,1.26,0.44993626974002365,2200
BTC_sma_100_200,BTC,sma_cross,0.6460946643292294,0.641048827375506,1.030909090909091,0.4756440209305701,2200
BTC_sma_100_300,BTC,sma_cross,0.6457953669831742,0.640096870371378,1.030909090909091,0.542120676431286,2200
BTC_rsi_2_20_50,BTC,rsi_meanrev,0.5055738434811672,0.20463420527546222,55.2109090909091,51.968892529615175,2200
BTC_rsi_2_20_60,BTC,rsi_meanrev,0.6827225438889213,0.42808128921464034,49.48363636363637,20.879028617789487,2200
BTC_rsi_2_20_70,BTC,rsi_meanrev,0.7212162319472535,0.5409870717226841,38.02909090909091,12.337647862406206,2200
BTC_rsi_2_25_50,BTC,rsi_meanrev,0.44488711237025413,0.14016244524529392,57.50181818181819,71.72410270603767,2200
BTC_rsi_2_25_60,BTC,rsi_meanrev,0.6276704262086484,0.3677711970514881,51.77454545454546,26.449513965791244,2200
BTC_rsi_2_25_70,BTC,rsi_meanrev,0.6376457057037259,0.45794992434737897,38.71636363636364,17.34991671151782,2200
BTC_rsi_2_30_50,BTC,rsi_meanrev,0.5621777436149623,0.2560547800819051,59.33454545454546,41.21796921350764,2200
BTC_rsi_2_30_60,BTC,rsi_meanrev,0.7088549274646998,0.4466985186423412,52.92,19.153243721092416,2200
BTC_rsi_2_30_70,BTC,rsi_meanrev,0.7630527456034671,0.5831768573786006,39.403636363636366,10.227917156640714,2200
BTC_rsi_5_20_50,BTC,rsi_meanrev,-0.01940125587568356,-0.16978374940092925,19.129090909090912,30060.000000000004,2200
BTC_rsi_5_20_60,BTC,rsi_meanrev,0.16815792912603134,0.04063977600492082,17.754545454545458,283.99470953090287,2200
BTC_rsi_5_20_70,BTC,rsi_meanrev,0.08639773107981086,-0.009333828158569561,15.463636363636365,24300.0,2200
BTC_rsi_5_25_50,BTC,rsi_meanrev,-0.16811422214645025,-0.3302995035037389,22.565454545454546,35460.0,2200
BTC_rsi_5_25_60,BTC,rsi_meanrev,0.04111895745386751,-0.09800254025355475,20.961818181818185,32940.0,2200
BTC_rsi_5_25_70,BTC,rsi_meanrev,0.027825735780181503,-0.07732312508566148,17.983636363636364,28260.000000000004,2200
BTC_rsi_5_30_50,BTC,rsi_meanrev,0.04984815641976092,-0.13620905599313327,27.37636363636364,43020.00000000001,2200
BTC_rsi_5_30_60,BTC,rsi_meanrev,0.17258598122670543,0.01999638163938122,24.398181818181822,526.0981141879173,2200
BTC_rsi_5_30_70,BTC,rsi_meanrev,0.15402614324023847,0.037349331641524944,20.732727272727274,32580.0,2200
BTC_rsi_14_20_50,BTC,rsi_meanrev,-0.2608932730328059,-0.29713390858992494,2.9781818181818185,4679.999999999999,2200
BTC_rsi_14_20_60,BTC,rsi_meanrev,-0.3181065593034559,-0.34492609794609846,2.7490909090909095,4320.0,2200
BTC_rsi_14_20_70,BTC,rsi_meanrev,-0.2589593944537455,-0.27906095691470834,2.52,3959.9999999999995,2200
BTC_rsi_14_25_50,BTC,rsi_meanrev,-0.15015860563427993,-0.19332011118739564,4.581818181818182,7200.0,2200
BTC_rsi_14_25_60,BTC,rsi_meanrev,-0.06927318981509957,-0.10352310912601649,4.3527272727272734,6840.000000000001,2200
BTC_rsi_14_25_70,BTC,rsi_meanrev,-0.049823253731208626,-0.07517894622893644,3.894545454545455,6120.0,2200
BTC_rsi_14_30_50,BTC,rsi_meanrev,-0.21392506293415425,-0.2645056296043809,6.185454545454546,9719.999999999998,2200
BTC_rsi_14_30_60,BTC,rsi_meanrev,0.009289490269267333,-0.029287057088248036,5.498181818181819,8640.0,2200
BTC_rsi_14_30_70,BTC,rsi_meanrev,0.22712177940400108,0.19734419821067914,5.04,35.33187105059146,2200
BTC_rsi_21_20_50,BTC,rsi_meanrev,-0.5489750800797438,-0.5637339886061314,1.1454545454545455,1800.0,2200
BTC_rsi_21_20_60,BTC,rsi_meanrev,-0.3281922641199679,-0.33941074721015024,1.1454545454545455,1800.0,2200
BTC_rsi_21_20_70,BTC,rsi_meanrev,-0.1780098978268873,-0.18651370203138912,1.1454545454545455,1800.0,2200
BTC_rsi_21_25_50,BTC,rsi_meanrev,-0.5411458697581985,-0.55871551887687,1.6036363636363637,2520.0,2200
BTC_rsi_21_25_60,BTC,rsi_meanrev,-0.431107956911677,-0.4426974451960606,1.3745454545454547,2160.0,2200
BTC_rsi_21_25_70,BTC,rsi_meanrev,-0.2719598242527936,-0.28107468625826354,1.3745454545454547,2160.0,2200
BTC_rsi_21_30_50,BTC,rsi_meanrev,-0.12141334731244412,-0.1531668292670338,3.4363636363636365,5399.999999999999,2200
BTC_rsi_21_30_60,BTC,rsi_meanrev,-0.11035584256700848,-0.12882497785877575,2.7490909090909095,4320.0,2200
BTC_rsi_21_30_70,BTC,rsi_meanrev,-0.029483819653735675,-0.044147392941136995,2.290909090909091,3600.0,2200
