cost_bp,benchmark_sr,benchmark_cagr,benchmark_trades,ml_1h_sr,ml_1h_cagr,ml_1h_trades,ml_15m_sr,ml_15m_cagr,ml_15m_trades
0,0.9539771916991664,0.4532714668672291,76,0.639842521910785,0.261937261245674,242,0.4162848655782714,0.1299264118207479,579
5,0.9438151394100605,0.4462897360786919,76,0.6094441116013403,0.242671520639045,242,0.3522212487113522,0.0890131610181241,579
10,0.9336370938531688,0.439338090103869,76,0.5790238186538993,0.2236904870621379,242,0.2881765083916134,0.0495619215609004,579
18,0.9173201080439872,0.4282777467332248,76,0.5303149302136446,0.1939028911717677,242,0.1857749215628379,-0.0106470734286938,579
30,0.8927742454088451,0.4118300654453477,76,0.4571967504164783,0.150532899780547,242,0.0324319500339686,-0.0946273917902714,579
50,0.8516928246303691,0.3847942876642301,76,0.3353113847445575,0.0816151084877898,242,-0.2220361124282026,-0.2192400957934878,579
