asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,CatBoost_MC,MC_null_iter65,0.0512,0.5359,1.0,,0.6936,863,
BTC,1d,CatBoost_MC,MC_null_iter66,-0.2997,0.6712,1.0,,0.5424,885,
BTC,1d,CatBoost_MC,MC_null_iter67,-2.3634,0.4685,1.0,,0.6705,863,
BTC,1d,CatBoost_MC,MC_null_iter68,-0.3786,0.4164,1.0,,0.489,909,
BTC,1d,CatBoost_MC,MC_null_iter69,-0.579,0.648,1.0,,0.6207,867,
BTC,1d,CatBoost_MC,MC_null_iter70,0.2274,0.5705,1.0,,0.6474,862,
BTC,1d,CatBoost_MC,MC_null_iter71,0.4594,0.3898,1.0,,0.4943,879,
BTC,1d,CatBoost_MC,MC_null_iter72,0.8414,0.5495,1.0,,0.7486,891,
BTC,1d,CatBoost_MC,MC_null_iter73,-0.3097,0.4233,1.0,,0.6163,858,
BTC,1d,CatBoost_MC,MC_null_iter74,-1.9035,0.6206,1.0,,0.7273,824,
BTC,1d,CatBoost_MC,MC_null_iter75,1.6544,0.528,1.0,,0.5966,879,
BTC,1d,CatBoost_MC,MC_null_iter76,-1.3975,0.5306,1.0,,0.7143,874,
BTC,1d,CatBoost_MC,MC_null_iter77,-1.1346,0.401,1.0,,0.686,860,
BTC,1d,CatBoost_MC,MC_null_iter78,0.8164,0.586,1.0,,0.4419,859,
BTC,1d,CatBoost_MC,MC_null_iter79,0.8633,0.3628,1.0,,0.7159,877,
BTC,1d,CatBoost_MC,MC_null_iter80,0.6488,0.5442,1.0,,0.6319,906,
BTC,1d,CatBoost_MC,MC_null_iter81,-1.4708,0.5028,1.0,,0.6158,884,
BTC,1d,CatBoost_MC,MC_null_iter82,-1.1843,0.5633,1.0,,0.6554,881,
BTC,1d,CatBoost_MC,MC_null_iter83,-0.1841,0.4133,1.0,,0.477,868,
BTC,1d,CatBoost_MC,MC_null_iter84,0.6639,0.4482,1.0,,0.6304,916,
