auc,pbo,net_sr,gross_sr,var_sr_is,long_pct,perm_passed,events,mc_iter
0.4494331065759637,1.0,-0.7202532690034905,-0.6042716234285037,0.1443662724986696,0.6369047619047619,False,838,0
0.3889674681753889,1.0,2.900596356630646,3.1640010141182753,0.2827998570157123,0.449438202247191,False,889,1
0.4588776003870343,1.0,1.6222999672510872,1.80209357536623,0.2060967635182305,0.7391304347826086,False,919,2
0.5529340592861465,1.0,0.3336723908720322,0.617153858434675,0.2420795960531278,0.6242774566473989,False,865,3
0.466005480882161,1.0,-0.7947650667813022,-0.5534584711166416,0.1855253205775248,0.5056818181818182,False,880,4
0.5905882352941177,1.0,0.1948020233552452,0.4753370342912704,0.2081449715127238,0.5988700564971752,True,882,5
0.5531461073586919,1.0,0.6226121021062265,0.8466194321725244,0.045681518210761,0.6684782608695652,True,917,6
0.3769345238095238,1.0,0.1819937997181052,0.4375609254201211,0.2827538320484791,0.6104651162790697,False,860,7
0.5014611338398598,1.0,0.3094418758943106,0.4724115163572924,0.1464851356781148,0.4685714285714286,False,875,8
0.5649481566820277,1.0,1.7962258823018975,1.982635611849867,0.2190426625054694,0.603448275862069,False,868,9
0.4025568181818182,1.0,-0.8414875927167411,-0.68899307139506,0.1427449314744862,0.5459770114942529,False,869,10
0.576804915514593,1.0,0.8104774739077676,1.0081839937624542,0.1207068008617485,0.7289156626506024,True,826,11
0.3848557692307692,1.0,0.3529856529189876,0.6361557598138837,0.1954828532886176,0.4239130434782608,False,917,12
0.5969169719169719,1.0,-1.5928248998658423,-1.509217253808261,0.2110632180411171,0.7664670658682635,True,831,13
0.4644768133174792,1.0,-1.6759723510061466,-1.51004006078523,0.1745094588513008,0.4827586206896552,False,868,14
0.5343472317156528,1.0,-0.487523238530262,-0.3205574590487243,0.0985747389616763,0.3446327683615819,False,882,15
0.425976800976801,1.0,1.7472922483301514,1.89875056497814,0.0611467700504166,0.5086705202312138,False,861,16
0.5756226290615207,1.0,1.0191801899278798,1.3009004755252689,0.2452591253166267,0.5852272727272727,False,879,17
0.5440848214285713,1.0,0.8039663084504555,0.9756155514687984,0.2897614539199492,0.6022727272727273,False,878,18
0.4896449704142012,1.0,-1.908318035827189,-1.6713311929022687,0.1662274738620391,0.5088757396449705,False,841,19
0.431608005521049,1.0,1.771159594492558,1.871498591446766,0.0995674571391128,0.7068965517241379,False,868,20
0.5439849624060151,1.0,0.8879534582274039,1.0482941809979516,0.2459051730299944,0.4804469273743016,False,892,21
0.5477139819245082,1.0,1.6045947866058896,1.8385743541083872,0.1293769143076443,0.5666666666666667,False,897,22
0.5337337081523128,1.0,-0.644603565680912,-0.4439284786086383,0.171820714262306,0.5423728813559322,False,883,23
0.5813128326434063,1.0,-1.2088891480282562,-1.0059625102356071,0.3276815270889351,0.4728260869565217,True,916,24
0.50075,1.0,-1.7604047262718876,-1.5267003384403892,0.0307214806838481,0.4111111111111111,False,900,25
0.4799202127659574,1.0,-0.3881235912597165,-0.1206801715430435,0.1453181499740224,0.4080459770114942,False,869,26
0.586231884057971,1.0,-1.6293823383560635,-1.309700072647477,0.070083576070987,0.6566265060240963,True,828,27
0.5702187720536344,1.0,-0.9547101701153116,-0.7599665973027451,0.047674535949007,0.5574712643678161,True,869,28
0.5247160454327309,1.0,2.1891433874677353,2.4147464158154137,0.2747001582955721,0.6333333333333333,False,897,29
0.4285714285714286,1.0,-0.4026932549107064,-0.2426095838314213,0.1276749652862239,0.5989010989010989,False,906,30
0.4716339869281045,1.0,-2.0995649728197585,-1.8863245829009816,0.2967988856775916,0.6666666666666666,False,884,31
0.4606060606060606,1.0,1.1270323776295823,1.3450529866981042,0.0696809135205834,0.5112359550561798,False,886,32
0.5218253968253969,1.0,0.5527907025941038,0.7190659346264401,0.0738344203702613,0.6404494382022472,False,888,33
0.3784464475079533,1.0,-1.81059715110765,-1.6195357803422583,0.0584350395961641,0.6379310344827587,False,867,34
0.339966434907696,1.0,1.7854345681232258,1.977776558485891,0.3184796298677056,0.6885245901639344,False,914,35
0.5634878819810326,1.0,-0.7703679329320838,-0.5883192459832121,0.1223728607042194,0.5706214689265536,False,881,36
0.5187683284457477,1.0,0.6682687296374584,0.8763247511458224,0.1390220053927943,0.6569767441860465,False,859,37
0.52690455961484,1.0,-0.5989127603573262,-0.4158467253173968,0.0601516635089048,0.5606936416184971,False,865,38
0.5643235071806502,1.0,0.0843646292357536,0.274289009430965,0.056558469431003,0.6130952380952381,False,838,39
0.5841584158415842,1.0,0.4966599751179706,0.725218145902084,0.1956064029198047,0.6727272727272727,True,825,40
0.5865821738531478,1.0,-0.3074942183846351,-0.0863658403665674,0.1787762117148608,0.5444444444444444,True,899,41
0.5316834804539723,1.0,-0.1458735206200696,0.0222076323427978,0.157197562222995,0.5632183908045977,False,870,42
