asset,timeframe,model,strategy_id,net_sr_18bp,auc,pbo,unbal_long_pct,bal_long_pct,events,config
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.15_d-0.25,0.4296,,,0.2428,,87,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.15_d-0.25,0.4296,,,0.2428,,87,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.15_d-0.25,0.4264,,,0.2418,,87,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.15,0.4124,,,0.271,,85,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.15,0.4124,,,0.271,,85,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.25,0.4082,,,0.2778,,78,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.25,0.4082,,,0.2778,,78,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.15,0.4026,,,0.2695,,87,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.2_d-0.1,0.4024,,,0.2491,,108,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.2_d-0.1,0.4024,,,0.2491,,108,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.25,0.399,,,0.2762,,80,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.2_d-0.1,0.3921,,,0.2475,,110,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.1_d-0.2,0.3894,,,0.1828,,66,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.1_d-0.2,0.3894,,,0.1828,,66,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.1_d-0.2,0.3855,,,0.1817,,66,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.15_d-0.25,0.3806,,,0.2272,,93,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.2,0.3773,,,0.1363,,76,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.15,0.3679,,,0.1681,,78,
BTC,1d,DM_SHAP,SHAP_g-0.1_m-0.05_d-0.2,0.3204,,,0.1452,,68,
BTC,1d,DM_SHAP,SHAP_g-0.07_m-0.05_d-0.2,0.3204,,,0.1452,,68,
BTC,1d,DM_SHAP,SHAP_g-0.05_m-0.05_d-0.2,0.316,,,0.1441,,68,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.1,0.308,,,0.1567,,85,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.05_d-0.15,0.2691,,,0.1337,,82,
BTC,1d,DM_SHAP,SHAP_g-0.03_m-0.1_d-0.25,0.2628,,,0.1739,,76,
