auc,pbo,net_sr,gross_sr,var_sr_is,long_pct,perm_passed,events,mc_iter,setting
0.4625678119349006,1.0,1.0479106197961405,1.2009611220094283,0.40086133061759366,0.5087719298245614,False,569,0,sol_1h
0.5170918367346938,1.0,-0.04015966851708463,0.07901987500948415,0.3557902316625065,0.3333333333333333,False,629,1,sol_1h
0.5422088755422089,1.0,1.0224734172373784,1.1580581428109737,0.26199374148312005,0.4406779661016949,False,586,2,sol_1h
0.44267198404785646,1.0,-0.29031325837442956,-0.15478758728930456,0.26655706665059026,0.4251968503937008,False,634,3,sol_1h
0.5527426160337552,1.0,1.461822677051194,1.5662551471410564,0.16884016794312176,0.625,False,559,4,sol_1h
0.5887362637362638,1.0,2.020224844231837,2.1419014768059403,0.310848078806771,0.732824427480916,False,654,5,sol_1h
0.5135029354207437,1.0,3.0747303773737884,3.20668578581895,0.5041030259984817,0.6944444444444444,False,540,6,sol_1h
0.5782051282051283,1.0,1.0046328519984427,1.110917985900933,0.2656437026679895,0.6638655462184874,False,594,7,sol_1h
0.44348404255319146,1.0,0.7117553222501631,0.8499052638248473,0.32981507105884206,0.5315315315315315,False,551,8,sol_1h
0.4795783926218709,1.0,-1.487013073896722,-1.3252083252418276,0.22672958383290942,0.4690265486725664,False,562,9,sol_1h
0.5220551378446115,1.0,1.6846264880873618,1.8496732085814687,0.14188727347451097,0.6456692913385826,False,631,10,sol_1h
0.5584335491828554,1.0,2.368905322294367,2.471146166820557,0.13918282683245706,0.5344827586206896,False,578,11,sol_1h
0.6334459459459458,1.0,-2.2933607144742574,-2.1831084756139987,0.15051070195836216,0.7264957264957265,True,581,12,sol_1h
0.5634105564843563,1.0,0.4280554256377078,0.5227076683792657,0.038995128923672864,0.6136363636363636,True,660,13,sol_1h
0.628517316017316,1.0,0.7019155956748853,0.7958724036157332,0.2876813330637557,0.6311475409836066,True,609,14,sol_1h
0.4422084623323014,1.0,-2.026279387353041,-1.8953574226092105,0.07410764039454208,0.45454545454545453,False,603,15,sol_1h
0.5931013431013431,1.0,0.02185614980387909,0.11729524663021132,0.20274465617979037,0.7913043478260869,False,571,16,sol_1h
0.4855983772819472,1.0,-1.2191770304458764,-1.1135622506094391,0.3006644291292453,0.5350877192982456,False,570,17,sol_1h
0.45707578806170357,1.0,0.20060816490613045,0.3461166114243085,0.09411892322875255,0.5752212389380531,False,563,18,sol_1h
0.43497615262321143,1.0,-1.881961339453351,-1.7735943265208756,0.12081912156863751,0.47540983606557374,False,610,19,sol_1h
0.561437908496732,1.0,-1.2101651755629983,-0.9815321923889567,0.6272186167221532,0.7168141592920354,False,563,20,sol_1h
0.42744755244755245,1.0,-0.29329127839303193,-0.20627048325777664,0.25026726926988097,0.6692913385826772,False,631,21,sol_1h
0.4664371772805508,1.0,-0.5912040028951656,-0.46854064131784023,0.28587150138678197,0.584,False,621,22,sol_1h
0.34408602150537637,1.0,3.6022170131798252,3.7294337295865936,0.1445169004938185,0.7168141592920354,False,561,23,sol_1h
0.40500625782227784,1.0,-3.4540783224595604,-3.3134899059793104,0.817032826552973,0.45454545454545453,False,656,24,sol_1h
0.47920604914933834,1.0,-0.34206892424240176,-0.21690556638388067,0.1418058949725426,0.7565217391304347,False,571,25,sol_1h
0.52262044653349,1.0,0.2661811006322992,0.4369803301710706,0.14334604550364044,0.6833333333333333,False,600,26,sol_1h
0.39209726443769,1.0,-0.6499489407280552,-0.5994132057703753,0.14204296864865323,0.3442622950819672,False,609,27,sol_1h
0.5409600459902271,1.0,0.9985845478142512,1.130635329487969,0.4269982031125802,0.6833333333333333,False,600,28,sol_1h
0.667581161408322,1.0,-0.10269002619707106,0.06575815611017687,0.1418210639508132,0.6944444444444444,True,538,29,sol_1h
0.5938888888888889,1.0,-1.1506763009648306,-1.0665579486826804,0.6168498123170619,0.568,True,622,30,sol_1h
0.43475877192982454,1.0,-1.0624990637382634,-0.9710827981157354,0.6354468650212938,0.79,False,498,31,sol_1h
0.616644385026738,1.0,-1.327276264341864,-1.2160351243086396,0.35991269540401744,0.30327868852459017,True,608,32,sol_1h
0.6137276378240235,1.0,-2.383502849150733,-2.269359606085513,0.1343517316041063,0.45689655172413796,True,580,33,sol_1h
0.6568144499178982,1.0,0.2538211464130555,0.42118139472228555,0.29346538416769763,0.5819672131147541,True,608,34,sol_1h
0.34656584751102715,1.0,2.1117846002361307,2.2201855342133423,0.15002495478979574,0.6260869565217392,False,573,35,sol_1h
0.4460554371002133,1.0,-3.4242200735916546,-3.338893630890082,0.11789259018434875,0.43137254901960786,False,509,36,sol_1h
0.4935810810810811,1.0,0.8426069197481454,0.949082753249876,0.37744882495572374,0.6581196581196581,False,583,37,sol_1h
0.4812088337853545,1.0,-0.6766627568433651,-0.5702776775048561,0.164524079336228,0.2627118644067797,False,590,38,sol_1h
0.502,1.0,0.4415775636500875,0.5565731732803365,0.04517678203745442,0.6347826086956522,False,572,39,sol_1h
